|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|count_key_text|count_word_sent
277|колесо|колесо|колесо|NOUN|269|16|9||||11|1.0
284|вид|вид|вид|NOUN|276|16|16||||4|1.0
287|ширина|ширина|Ширина|NOUN|279|17|1||||7|2.0
288|шина|шин|шин|NOUN|280|17|2||||16|1.0
290|полметра|полуметра|полуметра|NOUN|282|17|4||||4|2.0
294|танк|танка|танка|NOUN|286|17|8|SPEC|||20|1.0
295|каток|каток|каток|NOUN|287|17|9||||16|1.0
296|ширина|шириной|шириной|NOUN|288|17|10||||7|2.0
298|полметра|полуметра|полуметра|NOUN|290|17|12||||4|2.0
302|давление|давления|давления|NOUN|294|17|16||||4|1.0
304|грунт|грунт|грунт|NOUN|296|17|18||||4|1.0
308|тонна|тонны|тонны|NOUN|299|17|21||||18|1.0
329|тонна|тонн|тонн|NOUN|319|19|6||||18|1.0
331|колесо|колесо|колесо|NOUN|321|19|8||||11|1.0
333|диаметр|диаметр|Диаметр|NOUN|323|20|1||||4|1.0
334|шина|шины|шины|NOUN|324|20|2||||16|1.0
337|метр|метра|метра|NOUN|326|20|4||||15|2.0
339|ширина|ширина|ширина|NOUN|328|20|6||||7|1.0
344|метр|метра|метра|NOUN|332|20|10||||15|2.0
350|ширина|ширина|ширина|NOUN|338|21|5||||7|1.0
353|метр|метра|метра|NOUN|340|21|7||||15|1.0
356|броня|брони|брони|NOUN|343|21|10|SPEC|||28|1.0
368|колесо|колеса|колеса|NOUN|355|22|11||||11|2.0
371|метр|метра|метра|NOUN|357|22|13||||15|1.0
378|диаметр|диаметр|диаметр|NOUN|364|22|20||||4|1.0
379|колесо|колеса|колеса|NOUN|365|22|21||||11|2.0
386|шина|шину|шину|NOUN|372|22|28||||16|1.0
397|танк|танка|танка|NOUN|383|23|5|SPEC|||20|1.0
405|ширин|ширине|ширине|NOUN|390|23|12||||7|2.0
406|каток|катка|катка|NOUN|391|23|13||||16|1.0
408|ширин|ширины|ширины|NOUN|393|23|15||||7|2.0
409|шина|шины|шины|NOUN|394|23|16||||16|1.0
420|каток|каток|каток|NOUN|403|24|5||||16|1.0
422|диаметр|диаметр|Диаметр|NOUN|405|25|1||||4|1.0
423|каток|катков|катков|NOUN|406|25|2||||16|1.0
425|танк|танка|танка|NOUN|408|25|4|SPEC|||20|2.0
433|танк|танках|танках|NOUN|416|25|12|SPEC|||20|2.0
444|габарит|габарит|габарит|NOUN|427|26|10||||4|1.0
452|шина|шиной|шиной|NOUN|434|27|6||||16|1.0
455|танк|танк|танк|NOUN|437|27|9|SPEC|||20|1.0
460|каток|катками|катками|NOUN|441|27|13||||16|1.0
468|корпус|корпус|корпус|NOUN|449|28|6||||20|1.0
472|ося|осей|осей|NOUN|453|28|10||||4|1.0
474|шина|шинами|шинами|NOUN|455|28|12||||16|2.0
479|метр|метра|метра|NOUN|459|28|16||||15|1.0
486|габарит|габарит|габарит|NOUN|466|28|23||||4|1.0
490|шина|шинами|шинами|NOUN|470|28|27||||16|2.0
495|давление|давление|давление|NOUN|475|28|32||||4|1.0
497|грунт|грунт|грунт|NOUN|477|28|34||||4|1.0
502|ширина|ширина|ширина|NOUN|482|29|2||||7|1.0
503|корпус|корпуса|корпуса|NOUN|483|29|3||||20|2.0
513|метр|метра|метра|NOUN|492|29|12||||15|1.0
514|ширин|ширины|ширины|NOUN|493|29|13||||7|1.0
520|корпус|корпуса|корпуса|NOUN|499|29|19||||20|2.0
521|то|т-образного|Т-образного|TITL|500|29|20|TITL|||1|1.0
539|блог|блоге|блоге|NOUN|518|30|4||||6|1.0
565|бтр|бтр|БТР|ABVR|543|33|6|SPEC|||5|1.0
568|т-15|т-15|Т-15|DSNU|546|33|9|DSNU|||2|1.0
578|броня|брони|брони|NOUN|555|33|18|SPEC|||28|1.0
583|масса|массы|массы|NOUN|560|33|23||||12|1.0
591|метр|метра|метра|NOUN|567|34|5||||15|2.0
601|т-14|т-14|Т-14|DSNU|576|34|14|DSNU|||3|1.0
604|ширина|шириной|шириной|NOUN|579|34|17||||7|1.0
608|метр|метра|метра|NOUN|582|34|20||||15|2.0
621|машина|машины|машины|NOUN|595|35|5|SPEC|||6|1.0
630|фальшборт|фальшборт|фальшборт|NOUN|603|35|13||||7|1.0
649|танк|танка|танка|NOUN|622|36|3|SPEC|||20|2.0
652|тонна|тонн|тонн|NOUN|624|36|5||||18|2.0
660|гусеница|гусеницы|гусеницы|NOUN|631|36|12|SPEC|||5|2.0
662|тонна|тонна|тонна|NOUN|633|36|14||||18|2.0
664|гусеница|гусеница|гусеница|NOUN|635|36|16|SPEC|||5|2.0
672|каток|катки|катки|NOUN|643|36|24||||16|2.0
678|каток|каток|каток|NOUN|649|36|30||||16|2.0
692|масса|массу|массу|NOUN|663|36|44||||12|1.0
694|танк|танка|танка|NOUN|665|36|46|SPEC|||20|2.0
712|дно|дне|дне|NOUN|683|38|6||||5|1.0
729|тонна|тонн|тонн|NOUN|699|41|3||||18|2.0
735|мто|мто|МТО|ABVR|705|41|9|SPEC|||9|1.0
740|топливо|топливо|топливо|NOUN|710|41|14|SPEC|||1|1.0
753|броня|брони|брони|NOUN|723|41|27|SPEC|||28|2.0
758|масса|массе|массе|NOUN|727|41|31||||12|1.0
759|броня|брони|брони|NOUN|728|41|32|SPEC|||28|2.0
764|тонна|тонн|тонн|NOUN|732|41|36||||18|2.0
771|тонна|тонн|тонн|NOUN|738|42|5||||18|1.0
773|колесо|колесо|колесо|NOUN|740|42|7||||11|2.0
778|ося|осей|осей|NOUN|744|42|11||||4|1.0
781|колесо|колеса|колеса|NOUN|747|42|14||||11|2.0
785|габарит|габариты|габариты|NOUN|751|42|18||||4|1.0
786|каток|катков|катков|NOUN|752|42|19||||16|3.0
789|каток|катками|катками|NOUN|755|42|22||||16|3.0
796|шина|шины|шины|NOUN|762|42|29||||16|1.0
798|каток|катков|катков|NOUN|764|42|31||||16|3.0
807|оуто|общее устройство и техническое обслуживание|Общее Устройство и Техническое Обслуживание|NAME|773|43|7|NAME|36||1|1.0
809|устройство|устройство|Устройство|NOUN|774|43|8|SPEC|||1|1.0
812|обслуживание|обслуживание|Обслуживание|NOUN|777|43|11|TITL|||1|1.0
813|бтр-80|бтр-80|БТР-80|DSNU|778|43|12|DSNU|||1|1.0
820|метр|метра|метра|NOUN|784|43|18||||15|1.0
830|колесо|колеса|колеса|NOUN|794|43|28||||11|1.0
849|шина|шину|шину|NOUN|812|44|11||||16|2.0
852|каток|каток|каток|NOUN|815|44|14||||16|1.0
857|шина|шиной|шиной|NOUN|820|44|19||||16|2.0
868|полметра|полметра|полметра|NOUN|831|45|9||||4|1.0
870|корпус|корпусу|корпусу|NOUN|833|45|11||||20|1.0
874|броня|брони|брони|NOUN|837|45|15|SPEC|||28|1.0
882|раз|раза|раза|NOUN|844|45|22||||12|1.0
887|часть|части|части|NOUN|849|46|4||||6|1.0
898|угол|углом|углом|NOUN|860|48|8||||4|1.0
900|нлд|нлд|НЛД|UPPR|862|48|10|UPPR|||4|1.0
904|крыша|крыши|крыши|NOUN|866|48|14||||11|1.0
906|борт|борта|борта|NOUN|868|48|16||||11|1.0
929|блог|блог|блог|NOUN|890|48|38||||6|1.0
947|броня|брони|брони|NOUN|908|49|11|SPEC|||28|1.0
951|раз|раза|раза|NOUN|911|49|14||||12|1.0
963|броня|брони|брони|NOUN|923|50|11|SPEC|||28|1.0
977|аппарат|аппарат|аппарат|NOUN|937|51|13|SPEC|||2|1.0
979|гроб|гроб|гроб|NOUN|939|51|15||||4|1.0
987|весь|весь|весь|NOUN|947|51|23||||10|1.0
1000|сабж|сабж|Сабж|NOUN|960|52|1||||4|1.0
1009|цена|цене|цене|NOUN|968|52|9||||6|1.0
1011|птрк|птрк|ПТРК|ABVR|970|52|11|SPEC|||3|1.0
1012|спайк|спайк|Спайк|TITL|971|52|12|TITL|||1|1.0
1014|джавелин|джавелин|Джавелин|TITL|973|52|14|TITL|||1|1.0
1023|корпус|корпус|корпус|NOUN|982|53|8||||20|1.0
1025|мто|мто|МТО|ABVR|984|53|10|SPEC|||9|1.0
1030|цена|цене|цене|NOUN|989|54|2||||6|1.0
1031|фура+работа+листовая|фура+работа+листовая|фура+работа+листовая|NAME|990|54|3|NAME|||1|1.0
1032|броня|броня|броня|NOUN|991|54|4|SPEC|||28|1.0
1036|рпг|рпг|РПГ|ABVR|995|55|3|SPEC|||2|1.0
1044|сирийский|сирийскую|Сирийскую|ADJF|1003|55|11|CLIV|||1|1.0
1049|тонна|тонны|тонны|NOUN|1008|56|3||||18|1.0
1051|масса|массы|массы|NOUN|1010|56|5||||12|2.0
1054|метр|метр|метр|NOUN|1013|56|8||||15|1.0
1057|крыши+дна|крыши+дна|крыши+дна|NAME|1016|56|11|NAME|||1|1.0
1070|масса|массы|массы|NOUN|1029|56|24||||12|2.0
1075|бтр|бтр|БТР|ABVR|1034|57|3|SPEC|||5|1.0
1078|шина|шинами|шинами|NOUN|1037|57|6||||16|1.0
1093|мрап|мрап|МРАП|ABVR|1052|57|21|SPEC|||6|1.0
1102|жх|жгут хуситы|Жгут Хуситы|NAME|1060|57|29|NAME|44||1|1.0
1103|жгут|жгут|Жгут|NOUN|1060|57|29|TITL|||1|1.0
1104|хуситы|хуситы|Хуситы|TITL|1061|57|30|TITL|||1|1.0
1106|йемен|йемене|Йемене|NOUN|1063|57|32|SPEC|||1|1.0
1111|саудии|саудии|Саудии|TITL|1068|57|37|TITL|||1|1.0
1120|танкер|танкеры|танкеры|NOUN|1077|57|46|SPEC|||1|1.0
1122|эсминец|эсминцы|эсминцы|NOUN|1079|57|48|SPEC|||1|1.0
1136|лист|листа|листа|NOUN|1093|58|6||||4|1.0
1143|леклерков|леклерков|Леклерков|TITL|1100|58|13|TITL|||1|1.0
1145|ф15|ф15|Ф15|DSNU|1102|58|15|DSNU|||1|1.0
1151|тонна|тонна|Тонна|NOUN|1108|60|1||||18|1.0
1153|квадрат|квадрат|квадрат|NOUN|1110|60|3||||7|2.0
1155|свшп|свшп|СВШП|UPPR|1112|60|5|UPPR|||3|1.0
1160|квадрат|квадрат|квадрат|NOUN|1116|60|9||||7|2.0
1164|броня|брони|брони|NOUN|1120|60|13|SPEC|||28|1.0
1196|птур|птур|ПТУР|ABVR|1152|61|26|SPEC|||3|1.0
1201|лоб|лоб|лоб|NOUN|1157|61|31||||4|1.0
1203|танк|танк|танк|NOUN|1159|61|33|SPEC|||20|1.0
1235|мрап|мрап|МРАП|ABVR|1190|63|7|SPEC|||6|1.0
1237|танк|танков|танков|NOUN|1192|63|9|SPEC|||20|1.0
1241|бмп|бмп|БМП|ABVR|1196|63|13|SPEC|||2|1.0
1243|бтр|бтр|БТР|ABVR|1198|63|15|SPEC|||5|1.0
1247|т72|т72|Т72|DSNU|1202|63|19|DSNU|||1|1.0
1261|танк|танк|танк|NOUN|1216|64|10|SPEC|||20|1.0
1268|труп|трупов|трупов|NOUN|1222|64|16||||4|1.0
1270|блог|блоге|блоге|NOUN|1224|64|18||||6|1.0
1276|камаз|камаза|КамАЗа|NOUN|1230|64|24|TITL|||1|1.0
1282|броня|броня|броня|NOUN|1236|64|30|SPEC|||28|2.0
1289|цена|цена|цена|NOUN|1242|64|36||||6|1.0
1293|ракета|ракет|ракет|NOUN|1246|64|40|SPEC|||1|1.0
1294|птрк|птрк|ПТРК|ABVR|1247|64|41|SPEC|||3|1.0
1296|защита|защита|защита|NOUN|1249|64|43||||5|1.0
1299|птур|птур|ПТУР|ABVR|1252|64|46|SPEC|||3|1.0
1303|раз|разы|разы|NOUN|1256|64|50||||12|1.0
1305|мрап|мрап|МРАП|ABVR|1258|64|52|SPEC|||6|1.0
1307|броня|брони|брони|NOUN|1260|64|54|SPEC|||28|2.0
1317|гроб|гроб|гроб|NOUN|1269|65|3||||4|2.0
1327|гроб|гроб|гроб|NOUN|1279|65|13||||4|2.0
1333|труп|трупов|трупов|NOUN|1284|65|18||||4|1.0
1338|защита|защиту|защиту|NOUN|1289|65|23||||5|1.0
1343|танк|танка|танка|NOUN|1294|65|28|SPEC|||20|3.0
1346|борт|борт|борт|NOUN|1297|65|31||||11|1.0
1348|тоу2|тоу2|ТОУ2|DSNU|1299|65|33|DSNU|||3|1.0
1352|цена|ценой|ценой|NOUN|1303|65|37||||6|1.0
1356|танк|танка|танка|NOUN|1307|65|41|SPEC|||20|3.0
1357|намного|намного|намного|ABVR|1308|65|42|ABVR|||3|1.0
1360|танк|танков|танков|NOUN|1311|65|45|SPEC|||20|3.0
1361|сабж|сабж|сабж|NOUN|1312|65|46||||4|1.0
1365|птрк|птрк|ПТРК|ABVR|1316|65|50|SPEC|||3|1.0
1373|мрап|мрап|МРАП|ABVR|1323|65|57|SPEC|||6|1.0
1380|мрап|мрап|МРАП|ABVR|1330|66|6|SPEC|||6|1.0
1389|нии|нии|НИИ|ABVR|1339|68|4|SPEC|||3|1.0
1390|стали+боец|стали+боец|Стали+боец|TITL|1340|68|5|TITL|||1|1.0
1392|ратник|ратнике|Ратнике|NOUN|1342|68|7|TITL|||1|1.0
1396|пушка|пушки|пушки|NOUN|1346|68|11|SPEC|||7|1.0
1402|бк|бк|БК|ABVR|1351|68|16|SPEC|||1|1.0
1411|тонна|тонн|тонн|NOUN|1360|69|6||||18|1.0
1422|дз|дз|ДЗ|ABVR|1371|70|7|SPEC|||12|1.0
1436|куб|кубов|кубов|NOUN|1385|70|21|SPEC|||5|1.0
1443|метр|метров|метров|NOUN|1392|71|2||||15|1.0
1454|часть|части|части|NOUN|1403|71|13||||6|1.0
1469|отсек|отсек|отсек|NOUN|1418|73|7||||4|1.0
1472|шина|шины|шины|NOUN|1421|73|10||||16|1.0
1476|корпус|корпус|корпус|NOUN|1425|73|14||||20|1.0
1483|новотанки|новотанки|новотанки|ABVR|1431|73|20|ABVR|||1|1.0
1501|шина|шины|шины|NOUN|1449|74|13||||16|1.0
1505|дно|дно|дно|NOUN|1453|74|17||||5|1.0
1507|отсек|отсека|отсека|NOUN|1455|74|19||||4|1.0
1511|тм|тм|ТМ|ABVR|1459|75|3|SPEC|||1|1.0
1515|отсек|отсеки|отсеки|NOUN|1463|75|7||||4|1.0
1517|масса|масса|Масса|NOUN|1465|76|1||||12|1.0
1524|метр|метрах|метрах|NOUN|1472|77|5||||15|1.0
1545|борт|борт|Борт|NOUN|1492|79|1||||11|1.0
1547|ходовая|ходовая|ходовая|ABVR|1494|79|3|ABVR|||1|1.0
1551|борт|борт|Борт|NOUN|1498|80|1||||11|1.0
1556|влд|влд|ВЛД|UPPR|1503|81|1|UPPR|||4|1.0
1558|60|60|60|ABVR|1505|81|3|ABVR|||4|1.0
1560|нлд|нлд|НЛД|UPPR|1507|82|1|UPPR|||4|1.0
1566|крыша|крыша|Крыша|NOUN|1513|84|1||||11|1.0
1569|дно|дно|Дно|NOUN|1516|85|1||||5|1.0
1584|угол|углом|углом|NOUN|1530|86|12||||4|1.0
1588|пушка|пушек|пушек|NOUN|1534|86|16|SPEC|||7|1.0
1589|бмп|бмп|БМП|ABVR|1535|86|17|SPEC|||2|1.0
1594|мрап|мрап|МРАП|ABVR|1540|86|22|SPEC|||6|1.0
1601|крыша|крыша|Крыша|NOUN|1546|87|1||||11|1.0
1603|дно|дно|дно|NOUN|1548|87|3||||5|1.0
1609|рсзо|рсзо|РСЗО|ABVR|1553|87|8|SPEC|||2|1.0
1612|бч|бч|БЧ|ABVR|1556|87|11|SPEC|||1|1.0
1616|офз|офз|ОФЗ|UPPR|1560|87|15|UPPR|||3|1.0
1623|дз|дз|ДЗ|ABVR|1567|89|1|SPEC|||12|2.0
1629|квадрат|квадрат|квадрат|NOUN|1572|89|6||||7|2.0
1631|контакт-1|контакт-1|Контакт-1|DSNU|1574|89|8|DSNU|||1|1.0
1639|квадрат|квадрат|квадрат|NOUN|1581|89|15||||7|2.0
1642|фальшборт|фальшборт|фальшборт|NOUN|1584|89|18||||7|2.0
1649|дз|дз|ДЗ|ABVR|1591|89|25|SPEC|||12|2.0
1650|контакт|контакт|Контакт|NOUN|1592|89|26|TITL|||4|1.0
1659|фальшборт|фальшборт|фальшборт|NOUN|1600|89|34||||7|2.0
1661|фальшборт|фальшборт|Фальшборт|NOUN|1602|90|1||||7|1.0
1666|масса|массе|массе|NOUN|1607|90|6||||12|1.0
1673|квадрат|квадрат|квадрат|NOUN|1614|91|2||||7|1.0
1674|антиптурина-650кг|антиптурина-650кг|антиптурина-650кг|DSNL|1615|91|3|DSNL|||1|1.0
1687|угол|углом|углом|NOUN|1628|92|12||||4|1.0
1691|контакт|контакт|Контакт|NOUN|1632|92|16|TITL|||4|1.0
1701|реликт|реликт|Реликт|NOUN|1641|93|1||||9|2.0
1707|корпус|корпуса|корпуса|NOUN|1647|93|7||||20|1.0
1708|контакт|контакт|Контакт|NOUN|1648|93|8|TITL|||4|1.0
1723|реликт|реликт|Реликт|NOUN|1662|93|22|TITL|||9|2.0
1725|кр|кстати реликт|Кстати Реликт|NAME|1664|94|1|NAME|63||1|1.0
1727|реликт|реликт|Реликт|NOUN|1665|94|2|TITL|||9|1.0
1732|раз|раза|раза|NOUN|1669|94|6||||12|1.0
1741|кс|кс|КС|ABVR|1677|94|14|SPEC|||1|1.0
1759|реликт|реликт|Реликт|NOUN|1695|95|1||||9|1.0
1777|габарит|габариты|габариты|NOUN|1713|96|10||||4|1.0
1796|тонна|тонна|тонна|NOUN|1731|97|14||||18|1.0
1805|масса|массой|массой|NOUN|1739|98|6||||12|1.0
1810|броня|брони|брони|NOUN|1744|99|3|SPEC|||28|1.0
1817|влд|влд|ВЛД|UPPR|1750|100|5|UPPR|||4|1.0
1819|борт|борта|борта|NOUN|1752|100|7||||11|1.0
1823|дз|дз|ДЗ|ABVR|1756|100|11|SPEC|||12|1.0
1825|нлд|нлд|НЛД|UPPR|1758|100|13|UPPR|||4|1.0
1830|лист|лист|лист|NOUN|1763|100|18||||4|1.0
1832|броня|брони|брони|NOUN|1765|100|20|SPEC|||28|1.0
1845|контакт1|контакт1|Контакт1|DSNU|1776|100|31|DSNU|||1|1.0
1849|корпус|корпус|корпус|NOUN|1780|100|35||||20|1.0
1856|квадрат|квадратов|квадратов|NOUN|1787|101|3||||7|1.0
1863|дз|дз|ДЗ|ABVR|1794|101|10|SPEC|||12|1.0
1885|труп|трупов|трупов|NOUN|1814|102|11||||4|1.0
1894|гроб|гроб|гроб|NOUN|1823|103|4||||4|1.0
1898|броня|брони|брони|NOUN|1827|103|8|SPEC|||28|1.0
1902|дз|дз|ДЗ|ABVR|1831|103|12|SPEC|||12|1.0
1906|защита|защиту|защиту|NOUN|1835|103|16||||5|1.0
1912|тоу2|тоу2|ТОУ2|DSNU|1841|103|22|DSNU|||3|1.0
1917|броня|брони|брони|NOUN|1846|104|4|SPEC|||28|1.0
1921|пушка|пушки|пушки|NOUN|1850|105|3|SPEC|||7|1.0
1926|перископ|перископах|перископах|NOUN|1855|105|8|SPEC|||1|1.0
1928|крыша|крышу|крышу|NOUN|1857|105|10||||11|1.0
1941|бмд|бмд|БМД|ABVR|1870|106|8|SPEC|||2|1.0
1948|раз|раза|раза|NOUN|1877|106|15||||12|1.0
1959|подтверждение|подтверждение|Подтверждение|NOUN|1887|106|25|TITL|||3|1.0
1964|мто|мто|МТО|ABVR|1892|107|4|SPEC|||9|1.0
1968|куба|куба|куба|NOUN|1895|107|7|SPEC|||2|1.0
1973|куб|кубов|кубов|NOUN|1900|107|12|SPEC|||5|1.0
1977|масса|массу|массу|NOUN|1904|108|3||||12|2.0
1980|бумеранг|бумеранг|Бумеранг|NOUN|1907|108|6|TITL|||4|1.0
1984|тонна|тонн|тонн|NOUN|1910|108|9||||18|2.0
1986|шина|шину|шину|NOUN|1912|108|11||||16|1.0
1990|тонна|тонны|тонны|NOUN|1915|108|14||||18|2.0
1991|масса|массы|массы|NOUN|1916|108|15||||12|2.0
1992|40|40|40|ABVR|1917|108|16|ABVR|||8|1.0
1994|дз|дз|ДЗ|ABVR|1919|109|1|SPEC|||12|2.0
2002|защита|защиту|защиту|NOUN|1927|109|9||||5|1.0
2004|рпг|рпг|РПГ|ABVR|1929|109|11|SPEC|||2|1.0
2012|дз|дз|ДЗ|ABVR|1937|109|19|SPEC|||12|2.0
2019|дз|дз|ДЗ|ABVR|1943|110|4|SPEC|||12|1.0
2033|бмп-3|бмп-3|БМП-3|DSNU|1957|110|18|DSNU|||3|1.0
2036|бмд|бмд|БМД|ABVR|1960|110|21|SPEC|||2|1.0
2057|кб|кб|КБ|ABVR|1981|112|14|SPEC|||1|1.0
2061|габту|габту|ГАБТУ|ABVR|1985|112|18|SPEC|||1|1.0
2070|корпус|корпус|корпус|NOUN|1994|112|27||||20|1.0
2093|бумеранг|бумеранг|Бумеранг|NOUN|2017|114|2|TITL|||4|1.0
2097|картонка|картонка|картонка|ABVR|2021|115|1|ABVR|||1|1.0
2099|сабж|сабжа|сабжа|NOUN|2023|115|3||||4|1.0
2101|блог|блога|блога|NOUN|2025|115|5||||6|1.0
2104|броня|бронёй|бронёй|NOUN|2027|115|7|SPEC|||28|2.0
2121|крыша|крышу|крышу|NOUN|2044|115|24||||11|1.0
2124|тоу2|тоу2|ТОУ2|DSNU|2047|115|27|DSNU|||3|1.0
2126|броня|брони|брони|NOUN|2049|115|29|SPEC|||28|2.0
2133|бумеранг|бумеранг|Бумеранг|NOUN|2056|116|4|TITL|||4|1.0
2155|блог|блоге|блоге|NOUN|2078|117|21||||6|1.0
2172|тонна|тонны|тонны|NOUN|2094|117|37||||18|1.0
2179|влд|влд|ВЛД|UPPR|2101|117|44|UPPR|||4|1.0
2187|градус|градусов|градусов|NOUN|2108|117|51||||4|2.0
2197|фальшборт|фальшборта|фальшборта|NOUN|2117|117|60||||7|1.0
2198|100|100|100|ABVR|2118|117|61|ABVR|||2|2.0
2203|раз|раза|раза|NOUN|2123|117|66||||12|1.0
2205|реликт|реликт|Реликт|NOUN|2125|117|68|TITL|||9|1.0
2207|нии|нии|НИИ|ABVR|2127|117|70|SPEC|||3|1.0
2212|градус|градусов|градусов|NOUN|2131|117|74||||4|2.0
2216|бпс|бпс|БПС|ABVR|2135|117|78|SPEC|||3|1.0
2220|дз+50+дз+воздух+дз+100|дз+50+дз+воздух+дз+100|ДЗ+50+ДЗ+воздух+ДЗ+100|TITL|2139|117|82|TITL|||1|1.0
2226|высота|высоту|высоту|NOUN|2145|117|88||||5|1.0
2229|карл|карл|Карл|ABVR|2148|117|91|ABVR|||1|1.0
2230|бтр|бтр|БТР|ABVR|2149|117|92|SPEC|||5|1.0
2233|лоб|лоб|лоб|NOUN|2152|117|95||||4|1.0
2234|корпус|корпуса|корпуса|NOUN|2153|117|96||||20|1.0
2236|бумеранг|бумеранг|Бумеранг|NOUN|2155|117|98|TITL|||4|1.0
2243|пушка|пушки|пушки|NOUN|2162|117|105|SPEC|||7|2.0
2247|танк|танку|танку|NOUN|2166|117|109|SPEC|||20|1.0
2249|пушка|пушку|пушку|NOUN|2168|117|111|SPEC|||7|2.0
2267|мл-20|мл-20|МЛ-20|DSNU|2186|119|5|DSNU|||1|1.0
2282|кв-2|кв-2|КВ-2|DSNU|2200|120|3|DSNU|||1|1.0
2284|ису-152|ису-152|ИСУ-152|DSNU|2202|120|5|DSNU|||2|1.0
2290|тогда|тогда|тогда|ABVR|2207|121|4|ABVR|||4|1.0
2295|снаряд|снаряда|снаряда|NOUN|2211|121|8|SPEC|||2|2.0
2299|масса|массы|массы|NOUN|2214|121|11||||12|1.0
2300|офз|офз|ОФЗ|UPPR|2215|121|12|UPPR|||3|1.0
2301|калибр|калибра|калибра|NOUN|2216|121|13|SPEC|||2|1.0
2305|обт|обт|ОБТ|UPPR|2219|121|16|UPPR|||1|1.0
2310|снаряд|снаряд|снаряд|NOUN|2224|121|21|SPEC|||2|2.0
2315|часть|часть|часть|NOUN|2229|121|26||||6|1.0
2317|танк|танка|танка|NOUN|2231|121|28|SPEC|||20|2.0
2320|ствол|ствол|ствол|NOUN|2234|121|31|SPEC|||2|2.0
2321|пушка|пушки|пушки|NOUN|2235|121|32|SPEC|||7|1.0
2324|крыша|крышу|крышу|NOUN|2238|121|35||||11|3.0
2326|срываю|срывает|срывает|VERB|2240|121|37|WIQM|||1|1.0
2333|крыша|крышу|крышу|NOUN|2247|121|44||||11|3.0
2335|мто|мто|МТО|ABVR|2249|121|46|SPEC|||9|1.0
2341|защита|защите|защите|NOUN|2255|121|52||||5|1.0
2348|танк|танку|танку|NOUN|2262|121|59|SPEC|||20|2.0
2353|ствол|ствол|ствол|NOUN|2267|121|64|SPEC|||2|2.0
2355|крыша|крышу|крышу|NOUN|2269|121|66||||11|3.0
2359|гусеница|гусеница|гусеница|NOUN|2273|121|70|SPEC|||5|1.0
